# Help Training Data
# Format: INPUT_TEXT|CATEGORY|EXPECTED_RESPONSE_TYPE

how to create a contract|HELP_CREATE_CONTRACT|HELP_STEPS
create new contract|HELP_CREATE_CONTRACT|HELP_STEPS
steps to create contract|HELP_CREATE_CONTRACT|HELP_STEPS
contract creation process|HELP_CREATE_CONTRACT|HELP_STEPS
help me create a contract|HELP_CREATE_CONTRACT|HELP_STEPS
guide for creating contract|HELP_CREATE_CONTRACT|HELP_STEPS
contract creation workflow|HELP_CREATE_WORKFLOW|HELP_WORKFLOW
contract approval process|HELP_APPROVAL_PROCESS|HELP_APPROVAL
contract validation steps|HELP_VALIDATION|HELP_VALIDATION
contract review process|HELP_REVIEW_PROCESS|HELP_REVIEW
what information needed for contract|HELP_REQUIREMENTS|HELP_REQUIREMENTS
contract creation requirements|HELP_REQUIREMENTS|HELP_REQUIREMENTS
mandatory fields for contract|HELP_MANDATORY_FIELDS|HELP_MANDATORY_FIELDS
optional fields for contract|HELP_OPTIONAL_FIELDS|HELP_OPTIONAL_FIELDS
contract template selection|HELP_TEMPLATE_SELECTION|HELP_TEMPLATES
available contract templates|HELP_TEMPLATE_LIST|HELP_TEMPLATES
contract type selection|HELP_CONTRACT_TYPES|HELP_CONTRACT_TYPES
types of contracts available|HELP_CONTRACT_TYPES|HELP_CONTRACT_TYPES
contract duration setup|HELP_DURATION_SETUP|HELP_DURATION
how to set contract dates|HELP_DATE_SETUP|HELP_DATE_SETUP
contract pricing configuration|HELP_PRICING_CONFIG|HELP_PRICING
how to set contract pricing|HELP_PRICING_SETUP|HELP_PRICING
contract terms configuration|HELP_TERMS_CONFIG|HELP_TERMS
how to define contract terms|HELP_TERMS_SETUP|HELP_TERMS
contract conditions setup|HELP_CONDITIONS_SETUP|HELP_CONDITIONS
contract clauses configuration|HELP_CLAUSES_CONFIG|HELP_CLAUSES
standard contract clauses|HELP_STANDARD_CLAUSES|HELP_CLAUSES
custom contract clauses|HELP_CUSTOM_CLAUSES|HELP_CLAUSES
contract party information|HELP_PARTY_INFO|HELP_PARTY_INFO
customer information for contract|HELP_CUSTOMER_INFO|HELP_CUSTOMER_INFO
vendor information for contract|HELP_VENDOR_INFO|HELP_VENDOR_INFO
contract stakeholder setup|HELP_STAKEHOLDER_SETUP|HELP_STAKEHOLDERS
contract roles and responsibilities|HELP_ROLES_RESPONSIBILITIES|HELP_ROLES
contract authorization setup|HELP_AUTHORIZATION|HELP_AUTHORIZATION
contract signature requirements|HELP_SIGNATURE_REQUIREMENTS|HELP_SIGNATURES
electronic signature setup|HELP_ESIGNATURE_SETUP|HELP_ESIGNATURE
contract document management|HELP_DOCUMENT_MGMT|HELP_DOCUMENT_MGMT
contract version control|HELP_VERSION_CONTROL|HELP_VERSION_CONTROL
contract amendment process|HELP_AMENDMENT_PROCESS|HELP_AMENDMENTS
how to modify existing contract|HELP_MODIFY_CONTRACT|HELP_MODIFICATIONS
contract renewal process|HELP_RENEWAL_PROCESS|HELP_RENEWAL
automatic contract renewal|HELP_AUTO_RENEWAL|HELP_AUTO_RENEWAL
contract termination process|HELP_TERMINATION_PROCESS|HELP_TERMINATION
contract cancellation procedure|HELP_CANCELLATION|HELP_CANCELLATION
contract compliance setup|HELP_COMPLIANCE_SETUP|HELP_COMPLIANCE
regulatory compliance for contracts|HELP_REGULATORY_COMPLIANCE|HELP_REGULATORY
contract risk assessment|HELP_RISK_ASSESSMENT|HELP_RISK
contract risk mitigation|HELP_RISK_MITIGATION|HELP_RISK
contract insurance requirements|HELP_INSURANCE_REQUIREMENTS|HELP_INSURANCE
contract liability setup|HELP_LIABILITY_SETUP|HELP_LIABILITY
contract indemnification clauses|HELP_INDEMNIFICATION|HELP_INDEMNIFICATION
contract intellectual property setup|HELP_IP_SETUP|HELP_IP
contract confidentiality setup|HELP_CONFIDENTIALITY_SETUP|HELP_CONFIDENTIALITY
contract non-disclosure setup|HELP_NDA_SETUP|HELP_NDA
contract dispute resolution setup|HELP_DISPUTE_RESOLUTION|HELP_DISPUTE
contract arbitration clauses|HELP_ARBITRATION|HELP_ARBITRATION
contract governing law selection|HELP_GOVERNING_LAW|HELP_GOVERNING_LAW
contract jurisdiction setup|HELP_JURISDICTION|HELP_JURISDICTION
contract force majeure clauses|HELP_FORCE_MAJEURE|HELP_FORCE_MAJEURE
contract payment terms setup|HELP_PAYMENT_TERMS|HELP_PAYMENT
contract billing configuration|HELP_BILLING_CONFIG|HELP_BILLING
